id_ocorrencia;local_ocorrencia;latitude_ocorrencia;longitude_ocorrencia;data_ocorrencia;hora_ocorrencia;presen_agen_segur_ocorrencia;qtd_morto_civil_ocorrencia;qtd_morto_agen_segur_ocorrencia;qtd_ferido_civil_ocorrencia;qtd_ferido_agen_segur_ocorrencia;estado_id;cidade_id;nome_cidade;cod_ibge_cidade;gentilico_cidade;populacao_cidade;area_cidade;densidade_demo_cidade;nome_estado;uf_estado;cod_ibge_estado;homem_qtd_mortos_oc;homem_qtd_feridos_oc;mulher_qtd_mortos_oc;mulher_qtd_feridos_oc;chacina_oc;chacina_qtd_mortos_oc;chacina_unidades_policiais_oc;ag_seguranca_vitima_oc;ag_seguranca_mortos_status_oc;ag_seguranca_feridos_status_oc;bala_perdida_oc;bala_perdida_qtd_mortos_oc;bala_perdida_qtd_feridos_oc;interior_residencia_oc;interior_residencia_qtd_mortos_oc;interior_residencia_qtd_feridos_oc;imediacao_ensino_oc;imediacao_ensino_qtd_mortos_oc;imediacao_ensino_qtd_feridos_oc;vitima_crianca_oc;vitima_crianca_qtd_mortos_oc;info_adicional_crianca_morta_oc;vitima_crianca_qtd_feridos_oc;info_adicional_crianca_ferida_oc;vitima_adolescente_oc;vitima_adolescente_qtd_mortos_oc;info_adicional_adolescente_morto_oc;vitima_adolescente_qtd_feridos_oc;info_adicional_adolescente_ferido_oc;vitima_idoso_oc;vitima_idoso_qtd_mortos_oc;info_adicional_idoso_morto_oc;vitima_idoso_qtd_feridos_oc;info_adicional_idoso_ferido_oc;informacao_transporte_oc;descricao_transporte_interrompido_oc;data_interrupcao_transporte_oc;data_liberacao_transporte_oc;informacao_via_oc;descricao_via_interrompida_oc;data_interrupcao_via_oc;data_liberacao_via_oc;outros_recortes;motivo_principal;motivo_complementar
32930;Favela da Coréia - Senador Camará, Rio de Janeiro - RJ, 21830-565, Brasil;-22.8795382;-43.489301;06/01/2020;6:05:00;1;0;0;2;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;2;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;Operação Policial;
32931;Morro dos Prazeres - Santa Teresa, Rio de Janeiro - RJ, 22241, Brasil;-22.9347222;-43.2047222;06/01/2020;6:30:00;1;0;0;2;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;2;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;Operação Policial;
32932;Rua Tatajuba, Nova Holanda, Complexo da Maré, Rio de Janeiro - RJ, Brasil;-22.8568696;-43.2428977;06/01/2020;10:04:00;1;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32933;Morro do Juramento - Vicente de Carvalho, Rio de Janeiro - RJ, 21370, Brasil;-22.8600128;-43.315981;06/01/2020;10:51:00;1;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32937;Morro dos Prazeres - Santa Teresa, Rio de Janeiro - RJ, 22241, Brasil;-22.9347222;-43.2047222;06/01/2020;13:05:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32954;Pavão-Pavãozinho, Copacabana, Rio de Janeiro - RJ, 22071-060, Brasil;-22.980727;-43.194587;06/01/2020;19:56:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32962;Morro da Caixa D'água, Queimados, RJ, 26380-044, Brasil;-22.8936111;-43.3163889;06/01/2020;6:00:00;1;1;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;1;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;Operação Policial;
32969;Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20560, Brasil;-22.9090869;-43.2553349;07/01/2020;15:28:00;1;0;0;1;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;1;0;0;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;Ação policial;
32973;R. Um - Senador Camará, Rio de Janeiro - RJ, 21831-280, Brasil;-22.8904785;-43.486935;07/01/2020;10:30:00;1;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;Ação policial;
32977;Estr. dos Bandeirantes, 5000 - Curicica, Rio de Janeiro - RJ, 22775-112, Brasil;-22.9598392;-43.3886747;07/01/2020;19:40:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32979;Morro do São Carlos, Estácio, Rio de Janeiro - RJ, Brasil;-22.9177207;-43.2013063;07/01/2020;21:23:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32981;R. Guatemala - Penha, Rio de Janeiro - RJ, Brasil;-22.8315619;-43.2758748;07/01/2020;22:00:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32982;Estr. da Cachamorra - Campo Grande, Rio de Janeiro - RJ, Brasil;-22.9355151;-43.5573113;07/01/2020;23:56:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32983;Morro do Dendê, Ilha Do Governador, Rio de Janeiro - RJ, 21921-415, Brasil;-22.8018299;-43.1909843;08/01/2020;5:08:00;1;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;Operação Policial;
32987;Favela Rato Molhado, Sampaio, Rio de Janeiro - RJ, Brasil;-22.8976187;-43.2612322;08/01/2020;5:40:00;1;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32988;Morro do Dendê, Ilha Do Governador, Rio de Janeiro - RJ, 21921-415, Brasil;-22.8018299;-43.1909843;08/01/2020;6:30:00;1;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32994;Anchieta, Rio de Janeiro - RJ, Brasil;-22.8208417;-43.3968734;08/01/2020;5:10:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32995;Vila Progresso, Vila Kennedy, Rio de Janeiro - RJ, 21852-415, Brasil;-22.8613778;-43.495223;08/01/2020;7:54:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32996;Barão - Vila Kennedy - Bangu, Rio de Janeiro - RJ, 21850-007, Brasil;-22.8604006;-43.4884116;08/01/2020;12:30:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
33000;Manguinhos, Rio de Janeiro - RJ, Brasil;-22.8830377;-43.2457507;08/01/2020;15:10:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
33001;Av. de Santa Cruz, 7050 - Comunidade do Sapo  - Senador Camará, Rio de Janeiro - RJ, 21810-007, Brasil;-22.88161;-43.481947;07/01/2020;15:00:00;0;1;0;1;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;1;0;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;Tentativa/Roubo;
33005;Favela da Light, Realengo, Rio de Janeiro - RJ, 21615, Brasil;-22.8920063;-43.4274927;08/01/2020;21:25:00;1;0;0;1;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;1;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;Ação policial;
