ID,latitude,longitude,fecha,hora,presencia_policia,civiles_muertos,policias_muertos,varones_muertos,mujeres_muertas,cerca_escuelas,motivo_principal.y,direccion,localidad,bairro,region
34729,-22.8016667,-43.1902778,28/03/2020,18:57:00,1,0,0,NA,NA,Não,Operação Policial,"Morro do Dende - Jardim Carioca, Rio de Janeiro - RJ, 21921-325, Brasil",Jardim Carioca,Ilha do Governador,ILHA DO GOVERNADOR
34730,-22.8263652,-43.3876378,28/03/2020,19:53:00,0,0,0,NA,NA,Não,NA,"Morro do Final Feliz, Complexo do Chapadão, Anchieta, Rio de Janeiro - RJ, 21645-563, Brasil",Anchieta,Pavuna,ANCHIETA
34732,-22.8694071,-43.4790849,29/03/2020,02:30:00,0,0,0,NA,NA,Não,NA,"Vila Aliança - Bangu, Rio de Janeiro - RJ, 21842-340, Brasil",Bangu,Bangu,BANGU
34733,-22.8442602,-43.2803862,29/03/2020,03:11:00,0,0,0,NA,NA,Não,NA,"Complexo da Penha - Penha, Rio de Janeiro - RJ, 21070-390, Brasil",Penha,Penha,PENHA
34734,-22.8694071,-43.4790849,29/03/2020,04:11:00,0,0,0,NA,NA,Não,NA,"Vila Aliança - Bangu, Rio de Janeiro - RJ, 21842-340, Brasil",Bangu,Bangu,BANGU
34735,-22.9252336,-43.2053404,29/03/2020,04:10:00,0,0,0,NA,NA,Não,NA,"Rio Comprido, Rio de Janeiro - RJ, Brasil",Rio Comprido,Centro,RIO COMPRIDO
34737,-22.8983673,-43.5535487,29/03/2020,01:30:00,0,0,0,NA,NA,Não,NA,"Estrada da Caroba - Campo Grande, Rio de Janeiro - RJ, 23085-590, Brasil",Campo Grande,Campo Grande,CAMPO GRANDE
34738,-22.879916,-43.2853319,29/03/2020,07:00:00,0,0,0,NA,NA,Não,NA,"Inhauma, Rio de Janeiro - RJ, 20760-246, Brasil",Inhaúma,Inhaúma,INHAUMA
34739,-22.9090869,-43.2553349,29/03/2020,08:30:00,0,0,0,NA,NA,Não,NA,"Morro dos Macacos - Vila Isabel, Rio de Janeiro - RJ, 20560, Brasil",Riachuelo,Méier,MEIER
34743,-22.9442116,-43.3678663,29/03/2020,17:56:00,0,0,0,NA,NA,Não,NA,"13 - Cidade de Deus, Rio de Janeiro - RJ, 22773-200, Brasil",Cidade de Deus,Jacarepaguá,CIDADE DE DEUS
34745,-22.819503,-43.366894,29/03/2020,22:38:00,0,0,0,NA,NA,Não,NA,"Morro da Quitanda, Costa Barros, Rio de Janeiro - RJ, 21532-050, Brasil",Costa Barros,Pavuna,PAVUNA
34748,-22.9465479,-43.3697197,29/03/2020,23:29:00,0,0,0,NA,NA,Não,NA,"Cidade de Deus, Rio de Janeiro - RJ, Brasil",Cidade de Deus,Jacarepaguá,CIDADE DE DEUS
34749,-22.9162662,-43.1916361,30/03/2020,02:20:00,0,0,0,NA,NA,Não,NA,"Santa Teresa, Rio de Janeiro - RJ, Brasil",Santa Teresa,Centro,SANTA TEREZA
34751,-22.883013,-43.4296592,30/03/2020,00:05:00,0,0,0,NA,NA,Não,NA,"Av. Canal - Realengo, Rio de Janeiro - RJ, Brasil",Realengo,Bangu,REALENGO
34752,-22.9252462,-43.205265,30/03/2020,03:30:00,0,1,0,1,NA,Não,Homicídio/Tentativa,"R. Itapiru - Rio Comprido, Rio de Janeiro - RJ, 20251-032, Brasil",Rio Comprido,Centro,RIO COMPRIDO
34753,-22.8937052,-43.2482182,30/03/2020,06:00:00,1,0,0,NA,NA,Não,Operação Policial,"Bairro Carioca, Triagem, Rio de Janeiro - RJ, 20960-045, Brasil",Rocha,Méier,MEIER
34754,-22.8558216,-43.315785,30/03/2020,06:15:00,1,0,0,NA,NA,Não,Ação policial,"Morro do Juramento - Vicente de Carvalho, Rio de Janeiro - RJ, Brasil",Vicente de Carvalho,Madureira,IRAJA
34757,-22.8662498,-43.3275184,30/03/2020,03:15:00,0,0,0,NA,NA,Não,NA,"Morro da Serrinha, Madureira, Rio de Janeiro - RJ, 21360, Brasil",Madureira,Madureira,MADUREIRA
34777,-22.8228289,-43.3768204,30/03/2020,13:00:00,1,0,0,NA,NA,Não,Ação policial,"Complexo do Chapadão - Costa Barros, Rio de Janeiro - RJ, 21650, Brasil",Costa Barros,Pavuna,PAVUNA
34778,-22.8649474,-43.2628008,30/03/2020,16:50:00,0,0,0,NA,NA,Não,NA,"Morro do Adeus - Complexo do Alemão, Rio de Janeiro - RJ, 21061, Brasil",Complexo do Alemão,Inhaúma,COMPLEXO DO ALEMÃO
34779,-22.8303678,-43.3484529,30/03/2020,15:00:00,1,0,0,NA,NA,Não,Ação policial,"Av. Brasil - Coelho Neto, Rio de Janeiro - RJ, 20765-630, Brasil",Coelho Neto,Pavuna,PAVUNA
34781,-22.97546,-43.2857486,30/03/2020,19:10:00,0,0,0,NA,NA,Não,NA,"Favela Mata Machado, Alto da Boa Vista, Rio de Janeiro - RJ, 20535-240",Alto da Boa Vista,Tijuca,TIJUCA
34782,-22.97546,-43.2857486,30/03/2020,17:54:00,0,0,0,NA,NA,Não,NA,"Favela Mata Machado, Alto da Boa Vista, Rio de Janeiro - RJ, 20535-240",Alto da Boa Vista,Tijuca,TIJUCA
34783,-22.8654866,-43.2619815,30/03/2020,20:10:00,0,0,0,NA,NA,Não,NA,"Morro do Adeus, Complexo do Alemão, Rio de Janeiro - RJ, 21061, Brasil",Complexo do Alemão,Inhaúma,COMPLEXO DO ALEMÃO
